contentKey,storyKey,storyContents,storyViewState,storyImageState
59,4,감사해요.,8#0,5
60,4,젖지 않도록 잘 적어드릴게요.,8#1,3
61,4,슬픔을 기록한다는 건 그 자체로 슬픈 일이에요.,8#0,10
62,4,하지만 미래의 나에게 주는 위로문이기도 하죠.,8#0,5
63,4,"자신에게 공감받을 수 있도록, 슬픔을 적는 것 자체가 훌륭한 선택이라고 생각해요.",8#0,5
64,4,잘 생각하셨어요.,9#0,5
65,4,슬픈 날엔 자신을 위로할 수 있는 여유가 필요하겠죠.,9#0,0
66,4,자신에게 위로해 줄 수 있기를 바랄게요…,9#0,5
67,4,오늘 하루 지내시느라 힘드셨죠.,0,10
68,4,어떤 가치없는 날이라는 건 없다고 생각해요.,0,0
69,4,"그저 나 자신을 위한, 미래를 위한 모든 날이지 않을까 해요.",0,0
70,4,저도 그렇게 생각하며 이런 흘러가기만 하는 하루들을 버티고 있어요.,0,10
71,4,오늘 하루 슬픔을 전부 털어낼 수 있도록,0,0
72,4,우리 구르미들도 함께 울고 있을게요..,0,5
73,5,띠용. 당황스러운 하루를 보내셨군요.,0,11
74,5,어떤 하루일지 궁금하네요.,0,0
75,5,하루 얘기를 들려주실 수 있을까요?,7#2,1
76,5,"심호흡을 하고, 천천히 말씀해주세요…!",8#1,3
77,5,"나중에 이런일도 있었지, 하고 확인해봐도 좋을 것 같네요.",8#0,0
78,5,이런 일은 나중에는 실소할만한 이야기가 될 수 있으니까요.,8#0,5
79,5,그런가요…,9#0,7
80,5,많이 황당한 하루셨나봐요.,9#0,0
81,5,어쩌면 어이없는 하루셨을 수도 있구요.,9#0,0
82,5,그래도 오늘 하루도 어찌저찌 끝났나봐요.,0,0
83,5,이런 당황스런 하루도 있어서 삶에 굴곡이 있지 않나싶어요.,0,5
84,5,남은 하루는 차분하게 쉴 수 있으면 좋겠네요...!,0,0
85,6,복잡한 하루셨군요.,0,12
86,6,사람들의 감정은 줄곧 섞이는 것 같아요.,0,12
87,6,삶이 결코 단순하지 않기 때문이죠.,0,0
88,6,그냥 답답할 때도 그렇구요…,0,7
89,6,그러면 오늘의 이야기를 들려주실 수 있나요?,7#2,0
90,6,복잡한 마음은 풀어 놓으면 편해지기도 한다네요.,8#0,0
91,6,저에게 귀는 없지만 귀기울여 들어보도록 하죠…!,8#1,3
92,6,복잡하게 얽힌 마음은 자신조차 모를 때가 많데요.,7#0,0
93,6,감정은 절대 단순한게 아니라는 거죠.,7#0,0
94,6,친구님은 그저 답답하다고 느끼고 있을 수도 있지만요 ㅎㅎ…,7#0,5
95,6,"그저 흘러가는 구름같은 삶이 아닌, 스스로 생각하시는 삶이기에",0,0
96,6,그렇게 복잡한 마음이 들곤 하는 거겠죠.,0,0
97,6,그런 스스로 생각하며 살아가는 사람이라는 존재가 대단하다고 느껴져요.,0,0
98,6,오늘 하루 고생 많으셨어요!,0,2
99,7,조용한 일상같은 하루셨나봐요.,,0
100,7,이런 일상이라도 조금 특별한 일이 있었음 좋겠어요.,,0
101,7,혹시 특별한 일이 있었는지 말씀해 주실 수 있을까요?,,1
102,7,그래도 구름같이 흘러가는 하루는 아니셨나봐요.,,8
103,7,사소한 일이라도 모두 적어드릴게요!,,3
104,7,흘러가는 듯한 하루셨나봐요.,,0
105,7,그런 하루도 있어서 극적인 하루가 돋보이는 거겠죠.,,5
106,7,그리고… 이런 하루도 나름 편하기두 하구요.,,0
107,7,전 구름이라 그런 하루를 완벽히 이해하니까요!,,2
108,7,오늘 하루도 이렇게 끝났네요.,,0
109,7,"이런 하루를 좋아하실지, 싫어하실 지는 저는 잘 모르겠어요.",,0
110,7,하지만 이런 일상또한 삶에서 중요하다는 점은 알죠…! ,,5
111,7,이런 하루하루도 모두 살아가고 있음을 증명해주니까요.,,0
112,7,꿈에서라도 특별한 하루가 되길 바랄게요.,,0
